
Year,Disease,Cases,Deaths,Age_Group,Gender,Region
2021,Dengue,120,2,0-18,Male,North
2021,Dengue,135,2,19-40,Female,South
2021,Dengue,150,3,41-60,Male,East
2021,Dengue,165,3,60+,Female,West
2021,Dengue,180,4,0-18,Female,North
2021,Dengue,195,4,19-40,Male,South
2021,Dengue,210,5,41-60,Female,East
2021,Dengue,225,5,60+,Male,West
2021,Malaria,180,4,0-18,Male,North
2021,Malaria,195,4,19-40,Female,South
2021,Malaria,210,5,41-60,Male,East
2021,Malaria,225,5,60+,Female,West
2021,Malaria,240,6,0-18,Female,North
2021,Malaria,255,6,19-40,Male,South
2021,Malaria,270,7,41-60,Female,East
2021,Malaria,285,7,60+,Male,West
2021,Typhoid,100,1,0-18,Male,North
2021,Typhoid,115,2,19-40,Female,South
2021,Typhoid,130,2,41-60,Male,East
2021,Typhoid,145,3,60+,Female,West
2021,Typhoid,160,3,0-18,Female,North
2021,Typhoid,175,4,19-40,Male,South
2021,Typhoid,190,4,41-60,Female,East
2021,Typhoid,205,5,60+,Male,West
2022,Dengue,180,3,0-18,Male,North
2022,Dengue,195,3,19-40,Female,South
2022,Dengue,210,4,41-60,Male,East
2022,Dengue,225,4,60+,Female,West
2022,Dengue,240,5,0-18,Female,North
2022,Dengue,255,5,19-40,Male,South
2022,Dengue,270,6,41-60,Female,East
2022,Dengue,285,6,60+,Male,West
2022,Malaria,240,5,0-18,Male,North
2022,Malaria,255,5,19-40,Female,South
2022,Malaria,270,6,41-60,Male,East
2022,Malaria,285,6,60+,Female,West
2022,Malaria,300,7,0-18,Female,North
2022,Malaria,315,7,19-40,Male,South
2022,Malaria,330,8,41-60,Female,East
2022,Malaria,345,8,60+,Male,West
2022,Typhoid,140,2,0-18,Male,North
2022,Typhoid,155,2,19-40,Female,South
2022,Typhoid,170,3,41-60,Male,East
2022,Typhoid,185,3,60+,Female,West
2022,Typhoid,200,4,0-18,Female,North
2022,Typhoid,215,4,19-40,Male,South
2022,Typhoid,230,5,41-60,Female,East
2022,Typhoid,245,5,60+,Male,West
2023,Dengue,250,5,0-18,Male,North
2023,Dengue,265,5,19-40,Female,South
2023,Dengue,280,6,41-60,Male,East
2023,Dengue,295,6,60+,Female,West
2023,Dengue,310,7,0-18,Female,North
2023,Dengue,325,7,19-40,Male,South
2023,Dengue,340,8,41-60,Female,East
2023,Dengue,355,8,60+,Male,West
2023,Malaria,300,6,0-18,Male,North
2023,Malaria,315,6,19-40,Female,South
2023,Malaria,330,7,41-60,Male,East
2023,Malaria,345,7,60+,Female,West
2023,Malaria,360,8,0-18,Female,North
2023,Malaria,375,8,19-40,Male,South
2023,Malaria,390,9,41-60,Female,East
2023,Malaria,405,9,60+,Male,West
2023,Typhoid,180,3,0-18,Male,North
2023,Typhoid,195,3,19-40,Female,South
2023,Typhoid,210,4,41-60,Male,East
2023,Typhoid,225,4,60+,Female,West
2023,Typhoid,240,5,0-18,Female,North
2023,Typhoid,255,5,19-40,Male,South
2023,Typhoid,270,6,41-60,Female,East
2023,Typhoid,285,6,60+,Male,West
2024,Dengue,310,6,0-18,Male,North
2024,Dengue,325,6,19-40,Female,South
2024,Dengue,340,7,41-60,Male,East
2024,Dengue,355,7,60+,Female,West
2024,Dengue,370,8,0-18,Female,North
2024,Dengue,385,8,19-40,Male,South
2024,Dengue,400,9,41-60,Female,East
2024,Dengue,415,9,60+,Male,West
2024,Malaria,370,8,0-18,Male,North
2024,Malaria,385,8,19-40,Female,South
2024,Malaria,400,9,41-60,Male,East
2024,Malaria,415,9,60+,Female,West
2024,Malaria,430,10,0-18,Female,North
2024,Malaria,445,10,19-40,Male,South
2024,Malaria,460,11,41-60,Female,East
2024,Malaria,475,11,60+,Male,West
2024,Typhoid,220,4,0-18,Male,North
2024,Typhoid,235,4,19-40,Female,South
2024,Typhoid,250,5,41-60,Male,East
2024,Typhoid,265,5,60+,Female,West
2024,Typhoid,280,6,0-18,Female,North
2024,Typhoid,295,6,19-40,Male,South
2024,Typhoid,310,7,41-60,Female,East
2024,Typhoid,325,7,60+,Male,West
2025,Dengue,300,5,0-18,Male,North
2025,Dengue,315,5,19-40,Female,South
2025,Dengue,330,6,41-60,Male,East
2025,Dengue,345,6,60+,Female,West
2025,Dengue,360,7,0-18,Female,North
2025,Dengue,375,7,19-40,Male,South
2025,Dengue,390,8,41-60,Female,East
2025,Dengue,405,8,60+,Male,West
2025,Malaria,420,9,0-18,Male,North
2025,Malaria,435,9,19-40,Female,South
2025,Malaria,450,10,41-60,Male,East
2025,Malaria,465,10,60+,Female,West
2025,Malaria,480,11,0-18,Female,North
2025,Malaria,495,11,19-40,Male,South
2025,Malaria,510,12,41-60,Female,East
2025,Malaria,525,12,60+,Male,West
2025,Typhoid,270,5,0-18,Male,North
2025,Typhoid,285,5,19-40,Female,South
2025,Typhoid,300,6,41-60,Male,East
2025,Typhoid,315,6,60+,Female,West
2025,Typhoid,330,7,0-18,Female,North
2025,Typhoid,345,7,19-40,Male,South
2025,Typhoid,360,8,41-60,Female,East
2025,Typhoid,375,8,60+,Male,West
